Temperature (K),Density (kg/m^3),Viscosity (kg/m*s)
738.15,0.47820535723798496,3.4351345041364557e-05
739.15,0.47755839064495514,3.438065734765187e-05
740.15,0.4769131722559192,3.44099478694741e-05
741.15,0.47626969499456057,3.4439216651758654e-05
742.15,0.4756279518227024,3.446846373928652e-05
743.15,0.4749879357400506,3.4497689176692824e-05
744.15,0.4743496397839395,3.452689300846759e-05
745.15,0.4737130570290795,3.4556075278956265e-05
746.15,0.4730781805873063,3.4585236032360407e-05
747.15,0.47244500360733266,3.461437531273829e-05
748.15,0.47181351927450194,3.464349316400556e-05
749.15,0.4711837208105434,3.46725896299358e-05
750.15,0.47055560147333014,3.4701664754161214e-05
751.15,0.4699291545566379,3.4730718580173176e-05
752.15,0.46930437338990705,3.4759751151322915e-05
753.15,0.4686812513380052,3.478876251082203e-05
754.15,0.4680597818009926,3.481775270174317e-05
755.15,0.46743995821388945,3.484672176702061e-05
756.15,0.4668217740464439,3.487566974945085e-05
757.15,0.4662052228029038,3.490459669169318e-05
758.15,0.4655902980217881,3.493350263627034e-05
759.15,0.4649769932756617,3.496238762556904e-05
760.15,0.4643653021709118,3.4991251701840574e-05
761.15,0.4637552183475249,3.5020094907201395e-05
762.15,0.46314673547886714,3.504891728363372e-05
763.15,0.46253984727146513,3.507771887298605e-05
764.15,0.4619345474647891,3.510649971697382e-05
765.15,0.46133082983103785,3.513525985717988e-05
766.15,0.46072868817492474,3.516399933505513e-05
767.15,0.46012811633346623,3.5192718191919074e-05
768.15,0.45952910817577114,3.522141646896033e-05
769.15,0.45893165760283244,3.525009420723726e-05
770.15,0.45833575854732017,3.527875144767845e-05
771.15,0.45774140497337557,3.5307388231083355e-05
772.15,0.4571485908764082,3.533600459812274e-05
773.15,0.45655731028289287,3.5364600589339324e-05
